match_id,start_x,start_y,end_x,end_y,height,angle,duration,outcome
8658,61.0,40.0,67.0,68.0,Ground Pass,1.359703,1.6,
8658,72.0,69.0,86.0,67.0,Ground Pass,-0.14189705,0.76,
8658,84.0,66.0,84.0,78.0,Ground Pass,1.5707964,0.933,
8658,83.0,78.0,69.0,75.0,Ground Pass,-2.9304993,0.92,
8658,70.0,74.0,66.0,63.0,Ground Pass,-1.9195673,0.958,
8658,66.0,60.0,81.0,79.0,Ground Pass,0.9025069,1.173,
8658,81.0,77.0,84.0,74.0,Ground Pass,-0.7853982,0.813,
8658,83.0,74.0,62.0,78.0,Ground Pass,2.953371,1.453,
8658,62.0,78.0,68.0,50.0,Ground Pass,-1.359703,3.52,
8658,68.0,50.0,57.0,26.0,Ground Pass,-2.0005586,1.666,
8658,78.0,28.0,110.0,34.0,High Pass,0.18534794,1.96,
8658,7.0,42.0,76.0,49.0,High Pass,0.10110337,3.786,
8658,76.0,49.0,68.0,53.0,Low Pass,2.6779451,1.12,
8658,68.0,53.0,80.0,20.0,High Pass,-1.2220253,3.12,
8658,101.0,1.0,104.0,12.0,Low Pass,1.3045443,0.933,Incomplete
8658,16.0,73.0,43.0,76.0,High Pass,0.11065722,2.52,Incomplete
8658,78.0,5.0,62.0,6.0,Ground Pass,3.0791738,1.04,
8658,63.0,8.0,57.0,34.0,Ground Pass,1.7975951,1.8,
8658,58.0,47.0,67.0,78.0,Ground Pass,1.2882414,1.64,
8658,67.0,70.0,54.0,64.0,Ground Pass,-2.709185,1.24,
8658,51.0,60.0,58.0,66.0,Ground Pass,0.7086263,1.16,
8658,49.0,67.0,14.0,52.0,Ground Pass,-2.7367008,2.36,
8658,14.0,43.0,72.0,28.0,High Pass,-0.25307566,3.2,Incomplete
8658,49.0,53.0,67.0,46.0,High Pass,-0.3708913,1.88,
8658,69.0,45.0,52.0,42.0,High Pass,-2.9669204,1.68,
8658,53.0,41.0,59.0,49.0,Ground Pass,0.9272952,1.0,Incomplete
8658,54.0,28.0,56.0,3.0,Ground Pass,-1.4909663,2.36,
8658,56.0,3.0,66.0,6.0,Ground Pass,0.2914568,0.92,
8658,66.0,6.0,52.0,9.0,Ground Pass,2.9304993,1.44,
8658,52.0,9.0,44.0,26.0,Ground Pass,2.010639,1.16,
8658,44.0,26.0,46.0,49.0,Ground Pass,1.484058,1.773,
8658,52.0,53.0,65.0,79.0,Ground Pass,1.1071488,1.2,
8658,44.0,11.0,55.0,4.0,Ground Pass,-0.5667292,0.427,Incomplete
8658,62.0,79.0,43.0,74.0,Low Pass,-2.884269,1.48,
8658,42.0,71.0,41.0,34.0,Ground Pass,-1.5978168,1.68,
8658,56.0,27.0,120.0,74.0,High Pass,0.6334259,5.24,Out
8658,20.0,66.0,30.0,57.0,Ground Pass,-0.7328151,3.16,
8658,30.0,57.0,37.0,38.0,Ground Pass,-1.217806,1.24,
8658,36.0,23.0,37.0,63.0,Ground Pass,1.5458015,2.133,
8658,46.0,68.0,55.0,78.0,Ground Pass,0.8379812,1.106,
8658,54.0,77.0,45.0,73.0,Ground Pass,-2.7233684,1.173,
8658,52.0,70.0,69.0,59.0,Ground Pass,-0.5743048,0.973,
8658,68.0,60.0,80.0,66.0,Low Pass,0.4636476,1.24,
8658,80.0,64.0,79.0,78.0,Ground Pass,1.6421038,1.28,
8658,85.0,79.0,120.0,70.0,Ground Pass,-0.25168997,3.573,Out
8658,7.0,44.0,77.0,54.0,High Pass,0.14189705,3.56,Incomplete
8658,44.0,27.0,64.0,28.0,High Pass,0.049958397,2.92,
8658,64.0,27.0,51.0,28.0,Low Pass,3.0648208,0.08,
8658,50.0,29.0,77.0,10.0,Low Pass,-0.61320734,1.72,
8658,106.0,16.0,111.0,33.0,Ground Pass,1.2847449,0.707,Incomplete
8658,70.0,7.0,66.0,47.0,Ground Pass,1.670465,2.319,
8658,67.0,50.0,77.0,56.0,Ground Pass,0.5404195,0.653,
8658,76.0,55.0,65.0,67.0,Ground Pass,2.3127437,1.0,
8658,63.0,59.0,52.0,49.0,Ground Pass,-2.4037776,1.6,
8658,53.0,52.0,68.0,77.0,Ground Pass,1.0303768,1.439,
8658,51.0,66.0,49.0,45.0,Ground Pass,-1.665748,0.92,
8658,54.0,54.0,62.0,77.0,Ground Pass,1.2360595,1.373,
8658,63.0,79.0,89.0,77.0,Ground Pass,-0.07677189,1.4,Incomplete
8658,36.0,3.0,35.0,12.0,Ground Pass,1.6814536,0.48,
8658,35.0,12.0,43.0,5.0,Ground Pass,-0.71883,0.68,
8658,44.0,7.0,50.0,31.0,Ground Pass,1.3258177,1.12,
